Tue Jul 17 2018 16:49:46 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: t.reload
Tue Jul 17 2018 16:50:14 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: turtle#1082: log*
Tue Jul 17 2018 16:50:17 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: t.help
Tue Jul 17 2018 16:50:19 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: idk like better
Tue Jul 17 2018 16:50:30 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: if anyone like
Tue Jul 17 2018 16:50:31 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: misinput command
Tue Jul 17 2018 16:50:32 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: or
Tue Jul 17 2018 16:50:34 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: got error
Tue Jul 17 2018 16:50:36 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: can see what they type
Tue Jul 17 2018 16:50:44 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: turtle#1082: oh
Tue Jul 17 2018 16:51:57 GMT+0800 (+08) | Faraway Drifted Kingdom | pokemon-adventures: MasterDeemo#7432: pcatch frillish
Tue Jul 17 2018 16:53:40 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: t.leaderboard
Tue Jul 17 2018 16:54:01 GMT+0800 (+08) | Faraway Drifted Kingdom | general: Willa#1866: wtf
Tue Jul 17 2018 16:54:02 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: <@463644074528997376>
Tue Jul 17 2018 16:54:03 GMT+0800 (+08) | Faraway Drifted Kingdom | general: Willa#1866: i didn't do anything
Tue Jul 17 2018 16:54:15 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Willa#1866: wtf
Tue Jul 17 2018 16:55:32 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: turtle#1082: <@467393493745139732> penis
Tue Jul 17 2018 16:55:51 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: turtle#1082: <@467393493745139732> 9 inches
Tue Jul 17 2018 16:56:14 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: turtle#1082: gg
Tue Jul 17 2018 16:56:46 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Willa#1866: gg
Tue Jul 17 2018 16:56:49 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Willa#1866: this bot does metric
Tue Jul 17 2018 16:57:02 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: turtle#1082: gg
Tue Jul 17 2018 17:00:01 GMT+0800 (+08) | Faraway Drifted Kingdom | general: Tiger#5216: t.reload
Tue Jul 17 2018 17:00:08 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: <@463644074528997376>
Tue Jul 17 2018 17:02:04 GMT+0800 (+08) | Faraway Drifted Kingdom | general: Willa#1866: why is
Tue Jul 17 2018 17:02:05 GMT+0800 (+08) | Faraway Drifted Kingdom | general: Willa#1866: taiwan
Tue Jul 17 2018 17:02:05 GMT+0800 (+08) | Faraway Drifted Kingdom | general: Willa#1866: so
Tue Jul 17 2018 17:02:06 GMT+0800 (+08) | Faraway Drifted Kingdom | general: Willa#1866: HOT
Tue Jul 17 2018 17:03:53 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: t.reload
Tue Jul 17 2018 17:03:59 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: <@463644074528997376>
Tue Jul 17 2018 17:04:17 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: t.reload
Tue Jul 17 2018 17:04:25 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: <@463644074528997376>
Tue Jul 17 2018 17:04:47 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: t.reload
Tue Jul 17 2018 17:04:55 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: <@463644074528997376>
Tue Jul 17 2018 17:05:05 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: turtle#1082: u*
Tue Jul 17 2018 17:06:11 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: t.reload
Tue Jul 17 2018 17:06:19 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: <@463644074528997376>
Tue Jul 17 2018 17:06:25 GMT+0800 (+08) | Faraway Drifted Kingdom | general: Jerry#6061: t.reload
Tue Jul 17 2018 17:06:27 GMT+0800 (+08) | Faraway Drifted Kingdom | general: Jerry#6061: c!refresh
Tue Jul 17 2018 17:06:29 GMT+0800 (+08) | Faraway Drifted Kingdom | general: Jerry#6061: t.reload
Tue Jul 17 2018 17:06:35 GMT+0800 (+08) | Faraway Drifted Kingdom | general: Jerry#6061: $refresh
Tue Jul 17 2018 17:06:39 GMT+0800 (+08) | Faraway Drifted Kingdom | general: Jerry#6061: w.shutdown
Tue Jul 17 2018 17:06:42 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: <@463644074528997376>
Tue Jul 17 2018 17:06:44 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: wtf
Tue Jul 17 2018 17:06:45 GMT+0800 (+08) | Faraway Drifted Kingdom | general: ❄Sxcion❄#3424: gg baited
Tue Jul 17 2018 17:06:45 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: turtle#1082: oh
Tue Jul 17 2018 17:06:48 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: turtle#1082: put /
Tue Jul 17 2018 17:06:51 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: turtle#1082: after fubc
Tue Jul 17 2018 17:06:52 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: turtle#1082: func
Tue Jul 17 2018 17:06:57 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: what talking you
Tue Jul 17 2018 17:07:07 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: turtle#1082: ./functions/func.js
Tue Jul 17 2018 17:07:08 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: turtle#1082: ?
Tue Jul 17 2018 17:07:11 GMT+0800 (+08) | Faraway Drifted Kingdom | pokemon-adventures: Jerry#6061: pcatch mienfoo
Tue Jul 17 2018 17:07:13 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: ??
Tue Jul 17 2018 17:07:16 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: wtf u talking
